id,recipe_id,ingredient_id
153,17,2034
154,18,3797
155,18,2693
156,18,4744
157,18,1788
158,18,3395
159,18,1471
160,18,1865
161,18,3494
162,18,1390
163,18,125
164,18,4203
165,19,4627
166,19,2759
167,19,3870
168,19,3281
169,19,3002
170,19,2535
171,19,4110
172,19,1522
173,19,198
174,19,4329
175,19,3929
176,19,784
177,20,1216
178,20,2147
179,20,125
180,20,4203
181,20,3334
182,21,924
183,21,2710
184,21,3350
185,21,3431
186,21,941
187,22,1455
188,22,3242
189,22,2496
190,22,2710
191,22,2791
192,22,4265
193,22,723
194,22,4263
195,22,3468
196,23,2759
197,23,1849
198,23,3441
199,23,1331
200,23,3571
201,23,501
202,23,245
203,23,2487
204,24,4977
205,24,99
206,24,2386
207,24,3471
208,24,3929
209,24,5692
210,24,4375
211,24,3838
212,24,119
213,24,4217
214,24,2536
215,25,5651
216,25,1445
217,25,3929
218,25,3471
219,25,5504
220,25,198
221,25,4922
222,25,2173
223,25,5664
224,25,3323
225,25,2128
226,25,3005
227,26,3642
228,26,4111
229,26,4160
230,26,3929
231,26,727
232,26,5384
233,26,1822
234,26,3471
235,26,5008
236,26,2198
237,26,198
238,26,1036
239,26,2737
240,27,1367
241,27,1585
242,27,2742
243,27,792
244,27,3471
245,27,2496
246,27,1988
247,27,2178
248,27,313
249,28,3471
250,28,5124
251,28,699
252,28,956
253,28,810
254,28,3838
255,28,1010
256,28,3767
257,28,198
258,28,4129
259,29,4282
260,29,1585
261,29,1455
262,29,4296
263,29,3870
264,29,1755
265,29,671
266,29,5193
267,29,2055
268,30,3732
269,30,5645
270,30,2477
271,30,1367
272,30,2496
273,30,3471
274,30,2729
275,30,1923
276,31,1596
277,31,1455
278,31,1471
279,31,195
280,31,309
281,31,5455
282,31,3431
283,31,4603
284,32,1455
285,32,5643
286,32,150
287,32,2348
288,32,2710
289,32,1104
290,32,4183
291,32,4598
292,32,4450
293,32,989
294,32,198
295,33,3471
296,33,2471
297,33,1214
298,33,2572
299,33,1264
300,33,5082
301,33,2544
302,33,4561
303,33,1390
304,33,198
305,33,1641
306,34,1191
307,34,2561
308,34,1077
309,34,4888
310,34,3474
311,34,3218
312,35,4890
313,35,4624
314,35,4156
315,35,460
316,35,1138
317,35,2256
318,35,137
319,35,4714
320,35,4895
321,35,2352
322,36,3471
323,36,699
324,36,3085
325,36,4837
326,36,4904
327,36,1292
328,37,2145
329,37,4526
330,37,3007
331,37,1462
332,37,212
333,37,198
334,37,4372
335,38,4869
336,38,5374
337,38,3431
338,38,3232
339,38,2384
340,38,5241
341,38,408
342,38,501
343,38,1928
344,39,4642
345,39,1455
346,39,1214
347,39,2496
348,39,4604
349,39,5442
350,39,261
351,39,3929
352,39,4372
353,39,2147
354,39,1390
355,40,5337
356,40,5247
357,40,5056
358,40,4110
359,40,2759
360,40,5241
361,40,3232
362,40,198
363,40,4563
364,41,2469
365,41,283
366,41,3821
367,41,299
368,41,198
369,42,3471
370,42,1036
371,42,3929
372,42,2561
373,42,198
374,42,5380
375,42,3323
376,42,1670
377,43,3232
378,43,2890
379,43,2791
380,43,2496
381,43,3821
382,43,5189
383,43,5039
384,43,198
385,44,2791
386,44,5244
387,44,834
388,44,1986
389,44,3734
390,44,48
391,44,125
392,44,2352
393,44,5442
394,44,4372
395,44,1656
396,44,1888
397,45,4912
398,45,3838
399,45,3702
400,45,3821
401,45,823
402,46,5102
403,46,361
404,46,1620
405,46,4826
406,46,2064
407,46,4759
408,46,1093
409,46,1519
410,46,330
411,46,4575
412,46,5543
